source,weighted_f1,macro_f1,accuracy,es_weighted_f1,no_shift_weighted_f1,parse_failures
qwen2.5_7b_zero_shot,0.4488496518466492,0.4351609913580794,0.45037688442211055,0.23980865367642482,0.5283505788082479,56
gpt4o_mini_zero_shot,0.3407732740780412,0.33767418008958056,0.3285175879396985,0.17538439957563598,0.40510763897872853,4
dialoguesim_qwen2.5_7b,0.3135952278437108,0.32173706899107163,0.3015075376884422,0.2217328314941822,0.3541849226239715,5
dialoguesim_llama3b,0.29310054,0.30548896,0.27638191,0.19125494,0.33421223,12
dialoguesim_sft_only,0.29346168230386066,0.292368208572597,0.2851758793969849,0.17298246252838131,0.3414329805629179,7
parrot_floor,0.40161900018363134,0.4128256513780655,0.38944723618090454,0.17272137696138903,0.49059673582894525,3
